address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
New Administrative Capital,Twin House,4,4,362 ,2024,Semi Finished,Garden,,"9,050,000"
"Downtown, New Administrative Capital",Clinics,1,1,29 ,2,2021,Semi Finished,Main Street,"580,000"
"Solas - Vow Developments, New Capital Commercial Projects",Corporate Branch,3,1,65 ,5,2020,Super lux,Garden,"2,700,000"
"The Loft Plaza - Living Yards Development, New Capital Commercial Projects",Stores,,,33 ,Super lux,Main Street,,,"2,000,000"
"Central Business District, New Administrative Capital",Administrative,1,1,31 ,1,Lux,Main Street,,"899,000"
"Downtown, New Administrative Capital",Commercial,,,39 ,Extra super lux,Main Street,,,"1,575,600"
"Downtown, New Administrative Capital",Medical,1,1,29 ,2,2021,Semi Finished,Main Street,"319,000"
"The Loft Plaza - Living Yards Development, New Capital Commercial Projects",Stores,,,33 ,Semi Finished,Garden,,,"1,980,000"
"Downtown, New Administrative Capital",Stores,,,29 ,Semi Finished,Main Street,,,"1,015,000"
"Scene 7 Compound - Akam, New Capital Compounds",Apartments,3,3,165 ,3,Semi Finished,Garden,,"2,350,000"
"Downtown, New Administrative Capital",Administrative,1,4,29 ,3,2022,Extra super lux,Main Street,"493,000"
"Downtown, New Administrative Capital",Commercial,,,29 ,Semi Finished,Main Street,,,"558,250"
"Downtown, New Administrative Capital",Corporate Branch,1,1,29 ,3,2021,Semi Finished,Main Street,"287,100"
"De Joya 3 Compound - Taj Misr, New Capital Compounds",Apartments,3,2,139 ,6,2020,Semi Finished,Pool,"1,937,500"
New Administrative Capital,Apartment with Garden,1,1,155 ,Ground,2022,Lux,Main Street,"3,567,500"
New Cairo,Stores,1,1,94 ,1,2024,Semi Finished,Main Street,"4,493,724"
"Pukka Compound - MBG, New Capital Compounds",Apartments,3,3,200 ,3,2020,Super lux,Garden,"2,560,000"
"Atika Compound - New Plan, R7",Duplex,3,2,166 ,2,2021,Super lux,,"2,324,000"
New Administrative Capital,Apartments,2,1,48 ,4,2023,Extra super lux,Main Street,"1,200,000"
"Castle Landmark Compound - Castle Landmark, R7",Apartments,3,2,150 ,4,2021,Semi Finished,Garden,"1,639,800"
New Administrative Capital,Stores,,,28 ,Extra super lux,Main Street,,,"2,240,000"
"Downtown, New Administrative Capital",Tower,,,19 ,2023,Super lux,,,"1,300,000"
"Midtown Sky Compound - Better Home, R7",Town House,4,4,350 ,2024,Super lux,Garden,,"3,600,000"
منطقه الأعمال المركزيه,Administrative,1,1,30 ,3,2022,Extra super lux,Garden,"690,000"
"The City Valley Compound - Eg Master, New Capital Compounds",Apartments,3,3,173 ,3,2024,Semi Finished,Garden,"1,691,075"
New Administrative Capital,Pharmacy,,,181 ,2024,Extra super lux,Main Street,,"6,154,000"
serrano - new capital,Apartments,2,2,130 ,2,2025,Without Finish,Garden,"1,251,900"
"De Joya 2 - Taj Misr Developments, New Capital Compounds",Apartments,4,3,277 ,Ground,2020,Semi Finished,Garden,"3,462,500"
New Administrative Capital,Offices,1,1,46 ,2,2024,Extra super lux,Main Street,"1,518,000"
New Capital,Apartment with Garden,2,1,137 ,Ground,2023,Semi Finished,Garden,"2,403,612"
"Dejoya Compound - Taj Misr, New Capital Compounds",Apartments,3,3,198 ,3,2020,Semi Finished,Garden,"2,475,000"
"Dejoya Compound - Taj Misr, New Capital Compounds",Apartments,3,3,164 ,3,2020,Semi Finished,Garden,"2,050,000"
"Central Business District, New Administrative Capital",Stores,,,35 ,Semi Finished,Main Street,,,"1,200,000"
"Avalon, New Capital Commercial Projects",Offices,3,1,88 ,2,2020,Semi Finished,Garden,"2,860,000"
"Scene 7 Compound - Akam, New Capital Compounds",Apartments,4,3,200 ,3,2020,Semi Finished,Garden,"2,400,000"
New Administrative Capital,Apartment with Garden,2,3,119 ,Ground,2024,Semi Finished,Garden,"1,564,900"
New Capital City,Stores,,,165 ,Without Finish,Main Street,,,"11,300,000"
"Downtown, New Administrative Capital",Commercial,,,22 ,Super lux,Main Street,,,"968,000"
"Castle Landmark Compound - Castle Landmark, R7",Apartments,3,3,200 ,4,2021,Semi Finished,Garden,"2,192,600"
"R8, New Administrative Capital",Villas,4,4,202 ,2021,Semi Finished,Garden,,"4,100,000"
"Downtown, New Administrative Capital",Offices,1,1,20 ,9,2024,Super lux,Main Street,"400,000"
"Scene 7 Compound - Akam, New Capital Compounds",Apartments,3,3,170 ,3,2020,Semi Finished,Garden,"2,300,000"
"Scenario Compound - Akam Developments, R7",Duplex,5,3,361 ,2021,Super lux,Main Street,,"2,426,722"
